epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.073,1.70644,3.66627,1.67998,0.00557,0.3125,0.03542,0.01718,1.54444,3.53387,1.33228,3.334e-05,3.334e-05,3.334e-05
2,424.866,1.3778,3.47658,1.43419,0.0079,0.4375,0.11231,0.04322,1.38287,3.43263,1.21642,8.16997e-05,8.16997e-05,8.16997e-05
3,443.746,1.24361,3.23833,1.34325,0.00919,0.5,0.24188,0.15784,1.29195,3.34743,1.14751,0.000128079,0.000128079,0.000128079
4,460.293,1.18979,2.81239,1.24489,0.01059,0.5625,0.28899,0.19877,1.36858,3.2307,1.16357,0.000172478,0.000172478,0.000172478
5,475.884,1.19581,2.31323,1.15691,0.01296,0.6875,0.29987,0.2019,1.28324,3.13186,1.0429,0.000214896,0.000214896,0.000214896
6,494.505,1.22137,1.89242,1.23103,0.01193,0.625,0.34741,0.22988,1.38875,3.03504,1.1055,0.000255334,0.000255334,0.000255334
7,509.864,1.21976,1.63233,1.21017,0.586,0.13173,0.38663,0.23651,1.44709,2.96957,1.15175,0.000293792,0.000293792,0.000293792
8,526.408,1.27744,1.66801,1.22481,1,0.10165,0.44432,0.26913,1.50269,2.93843,1.18133,0.000330269,0.000330269,0.000330269
9,541.395,1.15892,1.50768,1.12888,1,0.23894,0.47772,0.28917,1.46222,2.88133,1.16403,0.000364766,0.000364766,0.000364766
10,556.899,1.19165,1.52498,1.11973,0.84346,0.22528,0.47195,0.28884,1.43333,2.87799,1.16311,0.000397283,0.000397283,0.000397283
11,575.087,1.15789,1.47095,1.11211,1,0.26576,0.5454,0.32486,1.37614,2.83776,1.16924,0.000427819,0.000427819,0.000427819
12,590.971,1.22877,1.57313,1.21948,0.97228,0.36173,0.49549,0.31059,1.43652,2.76615,1.17709,0.000456375,0.000456375,0.000456375
13,607.351,1.05351,1.33739,1.10095,0.83681,0.37471,0.46402,0.27389,1.60413,2.6325,1.30012,0.00048295,0.00048295,0.00048295
14,623.35,1.08372,1.3206,1.09953,0.83948,0.45141,0.52515,0.2863,1.6392,2.63899,1.31301,0.000507545,0.000507545,0.000507545
15,640.489,1.05939,1.22175,1.10989,0.80551,0.36733,0.60203,0.28937,1.50562,2.68775,1.2093,0.000530159,0.000530159,0.000530159
16,656.749,0.99149,1.27138,1.06866,0.81271,0.366,0.62836,0.3245,1.50401,2.73967,1.23296,0.000550793,0.000550793,0.000550793
17,673.255,1.04907,1.24483,1.09337,1,0.24304,0.54061,0.28096,1.48665,2.86598,1.29482,0.000569447,0.000569447,0.000569447
18,689.621,1.09183,1.17021,1.05886,1,0.24755,0.60926,0.30852,1.5672,2.77517,1.32025,0.000586121,0.000586121,0.000586121
19,706.801,0.99798,1.25859,1.11748,0.67898,0.19536,0.59263,0.2932,1.65211,2.71387,1.35674,0.000600813,0.000600813,0.000600813
20,722.751,0.99075,1.17119,1.08199,0.74417,0.24491,0.63568,0.3443,1.57969,2.61842,1.32975,0.000613526,0.000613526,0.000613526
21,744.154,1.04669,1.11545,1.07607,0.7494,0.41289,0.62137,0.33164,1.54711,2.49317,1.26797,0.000624258,0.000624258,0.000624258
22,761.021,1.01899,1.10162,1.04485,0.63121,0.40796,0.62418,0.35748,1.48067,2.38947,1.21658,0.00063301,0.00063301,0.00063301
23,779.8,0.99839,1.07073,1.04732,0.4902,0.3125,0.58677,0.36317,1.4699,2.43228,1.21605,0.000639781,0.000639781,0.000639781
24,795.399,0.97255,1.0827,1.05495,0.61726,0.3043,0.5181,0.30049,1.49062,2.46031,1.26602,0.000644572,0.000644572,0.000644572
25,812.039,0.87566,0.99994,0.99692,0.46842,0.35845,0.51512,0.31421,1.45853,2.44817,1.29231,0.000647383,0.000647383,0.000647383
26,829.261,0.99352,1.03776,1.0565,0.66777,0.45615,0.6068,0.39045,1.50773,2.22183,1.29866,0.000648213,0.000648213,0.000648213
27,846.207,1.00332,1.03748,1.10175,0.65548,0.54651,0.62833,0.40624,1.46605,2.16226,1.26595,0.000647063,0.000647063,0.000647063
28,864.803,0.92708,0.9474,1.03596,0.64882,0.52404,0.67108,0.42341,1.47736,2.13368,1.27502,0.000643932,0.000643932,0.000643932
29,885.834,0.93407,0.91594,1.04388,0.64882,0.52404,0.67108,0.42341,1.47736,2.13368,1.27502,0.000638821,0.000638821,0.000638821
30,903.763,0.90393,0.94922,1.05357,0.6757,0.56212,0.68055,0.4272,1.58235,2.12734,1.36433,0.00063173,0.00063173,0.00063173
